date,ndvi
2019-05-12,0.23763732573175747
2019-06-01,0.27658705850487175
2019-06-26,0.7496605336126704
2019-07-06,0.8086631245847433
2019-07-11,0.8601055898263015
2019-07-16,0.8139762064435483
2019-07-21,0.9198889501688761
2019-08-05,0.8631346559048046
2019-08-10,0.8359414901324047
2019-08-15,0.8530188093927409
2019-08-25,0.7926674635566751
2019-08-30,0.8372676595109037
2019-09-04,0.8044827207510876
2019-09-19,0.7319815593292626
2019-09-29,0.4839516576209098
2019-10-04,0.28396870927063944
2019-10-09,0.25435346993535807
2019-10-14,0.23808642600598873
2019-10-19,0.18478199833879455
